platform,company_name,product_name,price_range_usd,moq,certifications,location,contact_url,response_rate,years_on_platform,scraped_at
Alibaba,Hangzhou ZGSM Technology Co. Ltd.,LED Street Light 30-240W CE IP66 LM79,$62-185/pc,10 pcs,"CE, RoHS, LM79, LM80, ISO9001","Hangzhou, Zhejiang",zgsmled@zgsm-china.com | https://www.zgsmled.com/contact-us/,>90%,17+,2026-06-15
Alibaba,Shanghai CHZ Lighting Co. Ltd.,LED Street Light + Solar Street Light,$45-120/pc,5 pcs,"CE, RoHS, IP65",Shanghai,sales10@chz-lighting.com | https://chzlighting.en.made-in-china.com,>85%,10+,2026-06-15
Alibaba,HPWINNER Lighting Co. Ltd.,Smart LED Street Light IP66 DALI 0-10V,$80-200/pc,1 pc,"CE, RoHS, IK08, IP66, DALI","Shenzhen, Guangdong",https://www.hpwinner.com,>92%,8+,2026-06-15
Alibaba,Ningbo Sunle Lighting Electric Co. Ltd.,LED Street Light Outdoor,$27-55/pc,1 pc,N/A,"Ningbo, Zhejiang",https://www.alibaba.com → Sunle Lighting,N/A,N/A,2026-06-15
Alibaba,Shenzhen Nokin Traffic Facilities Co. Ltd.,Solar Radar Speed Sign LED Display CE,$107-378/pc,1 pc,"CE, RoHS, IP65","Shenzhen, Guangdong",alibaba.com → Nokin Traffic,>88%,11,2026-06-15
Alibaba,Zhongshan Gisun Lighting Co. Ltd.,LED Street Light CE ISO RoHS,$6.20-121/pc,1 pc,"CE, ISO, RoHS","Zhongshan, Guangdong",alibaba.com → Gisun Lighting,4.9/5,6,2026-06-15
Alibaba,Shenzhen Etenda Lighting Co. Ltd.,Solar LED Street Light All-in-One,$5.20-110/pc,1 pc,RoHS,"Shenzhen, Guangdong",alibaba.com → Etenda Lighting,4.7/5,8,2026-06-15
Alibaba,Shenzhen KTG Technology Co. Ltd.,LED Street Light 50-200W,$19.60-239/pc,1 pc,N/A,"Shenzhen, Guangdong",alibaba.com → KTG Technology,4.2/5,9,2026-06-15
Alibaba,Yuyao Yangming Lighting Co. Ltd.,LED Street Light Premium,$63-237/pc,1 pc,N/A,"Yuyao, Zhejiang",alibaba.com → Yangming Lighting,4.6/5,17,2026-06-15
Alibaba,Peony Lighting Technology Co. Ltd.,LED Street Light,$2.16-31/pc,5 pcs,N/A,Shanghai,alibaba.com → Peony Lighting,4.8/5,10,2026-06-15
Alibaba,Shenzhen Toplight Lighting Technology Co. Ltd.,LED Street Light 30-300W,$8.38-68/pc,1 pc,N/A,"Shenzhen, Guangdong",alibaba.com → Toplight,N/A,14,2026-06-15
Alibaba,Zhongshan Nexus Lighting Co. Ltd.,LED Street Light High Mast,$4.20-55/pc,5 pcs,N/A,"Zhongshan, Guangdong",alibaba.com → Nexus Lighting,4.9/5,13,2026-06-15
Alibaba,Fujian Jiexin Electronic & Technology Co. Ltd.,LED Street Light Solar,$5.40-123/pc,1 pc,N/A,"Fuzhou, Fujian",alibaba.com → Jiexin Electronic,4.8/5,11,2026-06-15
Made-in-China,Novasky Technology Co. Ltd.,24GHz Doppler Speed Radar Sensor K-Band,$170-185/pc,1 pc,"CE, RoHS","Changsha, Hunan",https://novasky.en.made-in-china.com,N/A,N/A,2026-06-15
Made-in-China,Nanoradar Science and Technology Co. Ltd.,TSR20/TCR300 Traffic Speed Radar 24-77GHz,$185-690/pc,1 pc,"CE, RoHS","Changsha, Hunan",made-in-china.com → Nanoradar,N/A,N/A,2026-06-15
Made-in-China,Smartgiant Technology Co. Ltd.,24GHz/77GHz Multi-Lane Traffic Radar,$700-2800/pc,1 pc,"CE, RoHS","Shenzhen, Guangdong",made-in-china.com → Smartgiant,N/A,N/A,2026-06-15
Global Sources,LUXSKY Lighting Co. Ltd.,LED Street Light 30-200W CE Export,$55-150/pc,10 pcs,"CE, RoHS, IP65","Shenzhen, Guangdong",https://www.luxsky-light.com,N/A,8+,2026-06-15
Global Sources,Phoebus Lighting Co. Ltd.,Modular LED Street Light CE,$90-220/pc,1 pc,"CE, RoHS","Shenzhen, Guangdong",https://www.phoebuslight.com,N/A,5+,2026-06-15
Made-in-China,ZGSM - Hangzhou ZGSM Technology Co. Ltd.,LED Street Light All Series CE LM80,$62-185/pc,1 pc,"CE, RoHS, LM79, LM80","Hangzhou, Zhejiang",zgsmled@zgsm-china.com,>90%,17+,2026-06-15
