priority,category,company_name,location,contact_person,email,phone_whatsapp,website,price_usd_fob,moq,certifications,europe_export,response_time,years_exp,notes,source,scraped_at
1,LED,Hangzhou ZGSM Technology Co. Ltd.,"Hangzhou, Zhejiang",Export Sales,zgsmled@zgsm-china.com,+86-150-6875-8483,https://www.zgsmled.com,$62-185/pc,10 pcs,"CE, RoHS, LM79, LM80, ISO9001",YES - 80+ countries,<12h,17+,PRIORITÉ #1 LED — LM79/LM80 confirmés — skype: zgsmled,Verified,2026-06-15T20:28:15.273043
2,LED,Shanghai CHZ Lighting Co. Ltd.,Shanghai,Export Sales,sales10@chz-lighting.com,N/A,https://www.chz-lighting.com,$45-120/pc,5 pcs,"CE, RoHS, IP65",YES - 100+ countries,<24h,10+,Représentant Europe Espagne — forte expérience export UE,Verified,2026-06-15T20:28:15.273064
3,LED,HPWINNER Lighting Co. Ltd.,"Shenzhen, Guangdong",Export Sales,sales@hpwin.com,+86-0571-8806-1966,https://www.hpwinner.com,$80-200/pc,1 pc,"CE, RoHS, IK08, IP66, DALI",YES,<24h,8+,Smart LED DALI 0-10V — idéal smart city AO,Verified,2026-06-15T20:28:15.273067
4,LED,LUXSKY Lighting Co. Ltd.,"Shenzhen, Guangdong",Export Sales,sales@luxsky-light.com,N/A,https://www.luxsky-light.com,$55-150/pc,10 pcs,"CE, RoHS, IP65",YES - Europe focus,<24h,8+,Spécialisé export Europe — email confirmé via website,Verified,2026-06-15T20:28:15.273069
5,LED,Zhongshan Ledcent Optoelectronics,"Zhongshan, Guangdong",Export Sales,ledcent.com@gmail.com,N/A,https://ledcent.com,$77-139/pc,1 pc,"CE, RoHS, ISO9001, ISO14001, FCC",YES - >100M$/yr export,<24h,N/A,71-90% export — fortement axé UE/USA — double ISO,Verified,2026-06-15T20:28:15.273071
6,LED,Phoebus Lighting Co. Ltd.,"Shenzhen, Guangdong",Export Sales,N/A (via site),N/A,https://www.phoebuslight.com,$90-220/pc,1 pc,"CE, RoHS",YES,<24h,5+,Modulaire haute puissance — check contact page,MIC,2026-06-15T20:28:15.273073
7,LED,Zhongshan Gisun Lighting Co. Ltd.,"Zhongshan, Guangdong",Export Sales,N/A (via Alibaba),N/A,https://gisunled.en.alibaba.com,$6.20-121/pc,1 pc,"CE, ISO, RoHS",YES,<7h,6,Alibaba 4.9/5 — 11 avis — très réactif,Alibaba,2026-06-15T20:28:15.273074
8,LED+Solar,Ellins Optoelectronics Co. Ltd.,"Zhongshan, Guangdong",Ms. Sylvia Guo,N/A (via MIC),N/A,http://ellinslight.com,$20-50/pc,50 pcs,"CE, RoHS",YES - 150 countries,<24h,14+,Prix très compétitif — forte présence Europe — contact Sylvia Guo,MIC,2026-06-15T20:28:15.273076
10,Radar,Shenzhen Noble Opto Co. Ltd.,"Shenzhen, Guangdong",Alan,inquiry@nobleled.com,+8613927455427,https://www.nobleled.com,$200-500/pc,1 pc,"CE, RoHS",YES - Suède/UK/Italie/Pologne/Espagne,<24h,16+,PRIORITÉ #1 RADAR — 90-100% export EU — 3000u/mois,Verified,2026-06-15T20:28:15.273078
11,Radar,Zhejiang Stars Plastic Safety Device,"Taizhou, Zhejiang",Mr. Raul Huang,sales@starsplastic.com,+8615757104372,https://www.starsplastic.com,$400-1200/pc,1 pc,"CE, ISO9001, MUTCD+EU standards",YES - 20+ countries,<24h,28+,PRIORITÉ #2 RADAR — 28 ans — normes EU ET MUTCD — 200u/mois,Verified,2026-06-15T20:28:15.273080
12,Radar,Nanoradar Science & Technology Co.,"Changsha, Hunan",Export Sales,sales@nanoradar.cn,N/A,https://www.nanoradar.com,$185-690/pc,1 pc,"CE, RoHS",YES,<48h,N/A,77GHz haut de gamme — filiale Novasky — email confirmé site web,Verified,2026-06-15T20:28:15.273084
13,Radar,Shenzhen Nokin Traffic Facilities,"Shenzhen, Guangdong",Export Team,info@nk-roadstud.com,N/A,https://www.nk-roadstud.com,$107-378/pc,1 pc,"CE, RoHS, IP65",YES,<1h,11,Réponse <1h — email confirmé website — radar+LED,Verified,2026-06-15T20:28:15.273086
14,Radar,Novasky Technology Co. Ltd.,"Changsha, Hunan",Export Sales,sales@novasky.cn,N/A,http://www.novasky.cn,$170-185/pc,1 pc,"CE, RoHS",YES - 30+ countries,<48h,18+,24GHz K-band — maison mère Nanoradar — email non confirmé,MIC,2026-06-15T20:28:15.273088
15,Radar,Fuzhou Moons Reflection Co. Ltd.,"Fuzhou, Fujian",Export Sales,N/A (via MIC),N/A,https://moonsreflection.en.made-in-china.com,$90-110/pc,50 pcs,"CE (à vérifier), RoHS",YES,<24h,N/A,Prix très compétitif radar — vérifier CE avant commande,MIC,2026-06-15T20:28:15.273089
16,Radar,OPTRAFFIC Co. Ltd.,Zhejiang,Export Sales,N/A (via MIC),N/A,https://optraffic.en.made-in-china.com,$2000-9400/pc,1 pc,"CE, MUTCD",YES,<24h,N/A,Haut de gamme — remorque mobile VMS — niche AO premium,MIC,2026-06-15T20:28:15.273091
17,Radar,Shenzhen Lecheng Ecosolar Co. Ltd.,"Shenzhen, Guangdong",Export Sales,N/A (via MIC),N/A,https://lecheng.en.made-in-china.com,$35-300/pc,2 sets,CE (à vérifier),YES,<24h,N/A,Prix d'entrée exceptionnel $35 — vérifier CE impérativement,MIC,2026-06-15T20:28:15.273093
