priority,category,company_name,location,contact_person,email,phone_whatsapp,website,price_usd_fob,moq,certifications,europe_export,response_time,years_exp,notes
1,LED,Hangzhou ZGSM Technology Co. Ltd.,"Hangzhou, Zhejiang",Export Sales,zgsmled@zgsm-china.com,+86-150-6875-8483,https://www.zgsmled.com,$62-185/pc,10 pcs,"CE, RoHS, LM79, LM80, ISO9001",YES - 80+ countries,<12h,17+,PRIORITÉ #1 LED — skype: zgsmled — LM79/LM80 confirmés
2,LED,Shanghai CHZ Lighting Co. Ltd.,"Shanghai",Export Sales,sales10@chz-lighting.com,N/A,https://www.chz-lighting.com,$45-120/pc,5 pcs,"CE, RoHS, IP65",YES - 100+ countries,<24h,10+,Europe representative Espagne — forte expérience export UE
3,LED,HPWINNER Lighting Co. Ltd.,"Shenzhen, Guangdong",Export Sales,sales@hpwin.com,+86-0571-8806-1966,https://www.hpwinner.com,$80-200/pc,1 pc,"CE, RoHS, IK08, IP66, DALI",YES,<24h,8+,Smart LED DALI 0-10V — idéal smart city AO
4,LED,Zhongshan Ledcent Optoelectronics,"Zhongshan, Guangdong",Ms. Ledcent (GM),N/A (login req.),N/A,https://ledcent.en.made-in-china.com,$77-139/pc,1 pc,"CE, RoHS, ISO9001, ISO14001, FCC",YES - >100M$/yr export,<24h,N/A,71-90% export — très axé UE/USA
5,LED+Solar,Ellins Optoelectronics Co. Ltd.,"Zhongshan, Guangdong",Ms. Sylvia Guo (Sales),N/A (login req.),N/A,http://ellinslight.com,$20-50/pc,50 pcs,"CE, RoHS",YES - 150 countries,<24h,14+,Prix très compétitif — forte présence Europe
6,LED,Zhejiang Newway Import & Export,"Jiaxing, Zhejiang",Mr. Daniel Bu (Sales),N/A (login req.),N/A,made-in-china.com/illuminationsolution,$140-180/pc,1 set,"N/A",YES,<48h,N/A,Positionnement prix premium LED+Solar
7,LED,Yangzhou Jieyao Lighting Equipment,"Yangzhou, Jiangsu",Export Sales,N/A (via MIC),N/A,made-in-china.com,$20-60/pc,5 pcs,"CE, ISO9001:2015, ISO14001",YES,<24h,N/A,Double ISO + CE — bon pour exigences AO
8,LED+Solar,Jiangsu Shixin Electric Group,"Jiangsu",Export Sales,N/A (via MIC),N/A,made-in-china.com,$86-185/pc,10 pcs,"CE, IP67, 4G CCTV",YES,<24h,N/A,LED+CCTV intégré — niche smart city
9,LED+Solar,Bluesmart Solar PV Co. Ltd.,"Guangdong",Export Sales,N/A (via MIC),N/A,made-in-china.com,$200-500/set,1 set,"CE, ISO14001, IP68",YES,<24h,N/A,IP68 — haute gamme solaire
10,Radar,Shenzhen Noble Opto Co. Ltd.,"Shenzhen, Guangdong",Alan,inquiry@nobleled.com,+8613927455427 (WhatsApp),https://www.nobleled.com,$200-500/pc,1 pc,"CE, RoHS",YES - Suède/UK/Italie/Pologne/Espagne,<24h,16+,PRIORITÉ #1 RADAR — 90-100% export — marché EU confirmé — 3000u/mois
11,Radar,Zhejiang Stars Plastic Safety Device,"Taizhou, Zhejiang",Mr. Raul Huang,sales@starsplastic.com,+8615757104372,https://www.starsplastic.com,$400-1200/pc,1 pc,"CE, ISO9001, MUTCD+EU standards",YES - 20+ countries,<24h,28+,PRIORITÉ #2 RADAR — 28 ans — normes EU ET MUTCD — 200 u/mois
12,Radar,Novasky Technology Co. Ltd.,"Changsha, Hunan",Export Sales,N/A (via MIC),N/A,http://www.novasky.cn,$170-185/pc,1 pc,"CE, RoHS",YES - 30+ countries,<48h,18+,24GHz K-band — techno radar avancée
13,Radar,Nanoradar Science & Technology Co.,"Changsha, Hunan",Export Sales,N/A (via MIC),N/A,made-in-china.com,$185-690/pc,1 pc,"CE, RoHS",YES,<48h,N/A,77GHz haut de gamme — trafic multi-voies
14,Radar,Shenzhen Nokin Traffic Facilities,"Shenzhen, Guangdong",Export Sales,N/A (via MIC),N/A,alibaba.com → Nokin Traffic,$107-378/pc,1 pc,"CE, RoHS, IP65",YES,<1h,11,Réponse <1h — très réactif — mixte radar+LED
15,Radar,Fuzhou Moons Reflection Co. Ltd.,"Fuzhou, Fujian",Export Sales,N/A (via MIC),N/A,made-in-china.com,$90-110/pc,50 pcs,"CE (verify), RoHS",YES,<24h,N/A,Prix très compétitif radar — 50 pcs MOQ
16,Radar,Shenzhen Lecheng Ecosolar Co. Ltd.,"Shenzhen, Guangdong",Export Sales,N/A (via MIC),N/A,made-in-china.com,$35-300/pc,2 sets,"CE (verify)",YES,<24h,N/A,Prix d'entrée exceptionnel $35 — solar radar basique
17,LED,LUXSKY Lighting Co. Ltd.,"Shenzhen, Guangdong",Export Sales,N/A (via site),N/A,https://www.luxsky-light.com,$55-150/pc,10 pcs,"CE, RoHS, IP65",YES - Europe,<24h,8+,Spécialisé export Europe
18,LED,Phoebus Lighting Co. Ltd.,"Shenzhen, Guangdong",Export Sales,N/A (via site),N/A,https://www.phoebuslight.com,$90-220/pc,1 pc,"CE, RoHS",YES,<24h,5+,Modulaire haute puissance
19,LED,Zhongshan Gisun Lighting Co. Ltd.,"Zhongshan, Guangdong",Export Sales,N/A (via Ali),N/A,alibaba.com → Gisun,$6.20-121/pc,1 pc,"CE, ISO, RoHS",YES,<7h,6,Alibaba 4.9/5 — 11 avis — populaire
20,Radar,OPTRAFFIC Co. Ltd.,"Zhejiang",Export Sales,N/A (via MIC),N/A,made-in-china.com,$2000-9400/pc,1 pc,"CE, MUTCD",YES,<24h,N/A,Haut de gamme remorque mobile VMS — niche AO premium
