produit,volume_recherche_mensuel,prix_1688_cny,poids_kg,prix_marche_lbc_eur,concurrence,risque_conformite
Organiseur de coffre auto pliable,9900,35,0.8,39,3,1
Etagere a chaussures modulable 24 paires,14800,42,1.6,45,3,1
Fontaine a eau pour chat 2L,18100,38,0.7,42,3,2
Sangles de musculation TRX-like,12100,28,0.6,35,4,2
Lampe d'atelier LED USB rechargeable,6600,22,0.3,29,2,2
Harnais chien anti-traction reflechissant,22200,18,0.25,25,4,2
Organiseur de visserie 24 tiroirs,4400,45,1.2,49,2,1
Support telephone voiture ventouse,33100,12,0.15,19,5,2
Kit karaoke enfant micro sans fil,27100,55,0.5,45,3,4
Brumisateur ventilateur portable USB,8100,25,0.35,29,3,3
